43° 34.2' N    015° 56.5' E
43° 25.9' N    015° 54.1' E		9.109759624506806 nm
43° 28.0' N    016° 5.6' E		8.531894665173184 nm
43° 29.0' N    016° 10.5' E		3.7629543725534327 nm
43° 30.9' N    016° 14.4' E		3.071621883127988 nm
43° 29.0' N    016° 10.5' E		3.071621883127988 nm
43° 28.7' N    016° 8.0' E		1.761534807933372 nm
43° 29.2' N    016° 6.8' E		1.7548837355675544 nm
43° 29.2' N    016° 6.8' E		0.0 nm
43° 28.1' N    016° 6.9' E		1.0010002633495558 nm
43° 30.6' N    015° 54.1' E		8.940411976955426 nm
43° 35.8' N    015° 41.4' E		10.666687598782975 nm
43° 38.1' N    015° 41.2' E		2.9930003504544613 nm
43° 38.1' N    015° 41.2' E		0.0 nm
43° 36.7' N    015° 39.9' E		2.4612838964978976 nm
43° 36.3' N    015° 40.0' E		0.7176644667332657 nm
43° 37.7' N    015° 35.9' E		3.750710067748178 nm
43° 40.1' N    015° 43.6' E		6.515789915022084 nm
43° 49.5' N    015° 33.9' E		11.542789384786424 nm
43° 49.5' N    015° 35.4' E		1.4395079098039498 nm
43° 49.5' N    015° 35.4' E		0.0 nm
43° 45.2' N    015° 36.7' E		4.067968567969134 nm
43° 42.1' N    015° 45.8' E		7.163605154389291 nm
43° 41.1' N    015° 45.7' E		1.0000002614452201 nm
43° 41.1' N    015° 45.7' E		0.0 nm
43° 40.6' N    015° 46.4' E		1.228823561254682 nm
43° 43.1' N    015° 50.9' E		4.166072610005971 nm
43° 44.2' N    015° 53.2' E		2.3833376863936455 nm
43° 44.2' N    015° 53.2' E		0.0 nm
43° 43.1' N    015° 50.9' E		2.3833376863936455 nm
43° 40.5' N    015° 53.0' E		3.6950314943322473 nm
43° 35.0' N    015° 53.8' E		5.005003350096276 nm
43° 34.2' N    015° 56.5' E		2.389624351193513 nm

Total:	114.57592152559816 nm
